# version: 0.15.0
# source: https://github.com/mozillazg/pinyin-data
U+3447: zhòu
U+344A: yì
U+344C: kuāng
U+3469: luó
U+3473: zhòu
U+3493: tà
U+34E6: bāi
U+3509: zhǔ
U+351A: jié
U+3551: chú
U+355C: shǐ
U+3560: shuāng
U+356E: fǔ
U+3576: ň,ňg
U+358A: xún
U+359E: wāi
U+35C4: kū
U+35CF: wāi
U+35D1: bai
U+3604: lēng
U+3606: tǎi
U+360E: hǎn
U+3617: qū
U+3625: yóu
U+362D: ào
U+3631: tān
U+3635: bù
U+364D: duō
U+3658: yāo
U+365F: lǎng
U+3666: xié
U+3681: qiào
U+36A2: nú
U+36BB: jī
U+36C3: jié
U+36DA: tǒng
U+36F9: pián
U+3743: miǎn
U+3761: zuì
U+377F: bǒ
U+378E: bǎ
U+3797: qiú
U+3798: dū
U+379E: sóng
U+37C2: mǔ
U+37C3: sī
U+37D6: lòng
U+37E4: lù
U+37F7: da
U+3804: xí
U+3807: jiù
U+3813: méng
U+382F: yǐ
U+383E: yuān
U+3851: qiāo
U+3853: kūn
U+3860: zhèng
U+3861: chú
U+3867: zhèng
U+3905: ài
U+3918: zhòu
U+3925: hài
U+3944: líng
U+394F: tiǎn
U+3966: qiè
U+396E: zhòu
U+3975: hùn
U+39C0: jí
U+39CF: gāng
U+39D0: sǒng
U+39D1: huī
U+39DF: kuǎi
U+3A04: zhōu
U+3A17: jié
U+3A18: xǐng
U+3A2A: huàng
U+3A4B: xiāo
U+3A50: dèn
U+3A59: sāi
U+3A5F: zhài
U+3A73: sǒng
U+3A8D: bó
U+3ABA: jū
U+3AF0: làng
U+3B09: nuǎn
U+3B0A: huàn,huǎn
U+3B0E: xiǎn
U+3B1A: chè
U+3B1F: fēn
U+3B24: qī
U+3B4E: gāng
U+3B55: qū
U+3BA3: gài
U+3BBE: lǎng
U+3BED: lǔ
U+3BF3: qíng
U+3C00: lí
U+3C0D: lóng
U+3C43: yǐn
U+3C6E: huì
U+3C84: jué
U+3C93: róng
U+3CB2: dié
U+3CC2: yán,yàn
U+3CC7: fù
U+3CD8: chōng
U+3CDA: xù
U+3CE0: tà
U+3D14: yì,xì,sè
U+3D29: yōng
U+3D50: jué
U+3D72: wǔ
U+3D81: guó
U+3D89: xī
U+3D91: liàn
U+3D9F: lěi
U+3DB2: yòng
U+3DDF: tuì
U+3E06: kào
U+3E0C: huò
U+3E4E: léi
U+3E62: jiā
U+3E6D: yì
U+3E80: hū
U+3E84: yǔ
U+3E85: hóu
U+3EA2: huò
U+3EEB: bì
U+3EEC: tū
U+3F08: luó
U+3F41: lì
U+3F4F: gàn
U+3F58: gǎng
U+3FB9: chái
U+3FE0: huàng
U+4007: gǔ
U+4009: qiáo
U+400C: xì
U+4026: gǔ
U+4056: lōu
U+40AB: hāng
U+40AE: lüè
U+40C5: dī
U+40C9: mín
U+40CE: zhà
U+40D8: kēng
U+40E0: xuàn
U+40F0: cā
U+410D: zhà
U+413B: táo
U+415F: cǎn
U+41ED: lǎo
U+41F2: cè,jiā
U+41FD: zhé
U+420E: yè
U+426C: fèi
U+4272: mí
U+4275: zhuàn,zuǎn
U+42AA: lì
U+4337: chōu,chóu
U+4339: jiǒng
U+4349: zhǎi
U+4361: lù
U+4383: rǎn
U+4396: zēng
U+43B1: bà
U+43DD: zhuān
U+43E1: shì
U+43F2: dié,tī
U+43FF: qǐ
U+4403: jùn
U+441B: dā
U+4472: zhào
U+447D: tà
U+44A3: rǎn
U+44B7: guā
U+44BF: liáo
U+44D6: qióng
U+44DB: qū
U+44E8: yīng
U+44EB: qí
U+44EC: zhuó
U+451B: qǐng
U+456D: qián
U+4577: mí
U+458F: chǔ,chù
U+45AE: xiǎng
U+45B3: zhà
U+45D6: dì
U+45DB: xiū
U+45EA: zhè
U+45F4: tíng
U+45FB: jié
U+460C: nì
U+4615: háng
U+462E: sāng,sàng
U+464C: kuì
U+4723: xīn
U+473A: chǎi
U+474B: zòng
U+4759: chū
U+475F: yà
U+478D: qíng
U+4793: chēng
U+47C1: xiāo,chāo
U+47E1: zhī
U+4800: tāng
U+480A: fèi
U+4831: zhú
U+48BA: chū
U+48BC: gōng
U+48D8: táng
U+490C: qiāng
U+4928: pì
U+4947: shàn
U+4951: mài,wàn
U+497D: pō
U+4983: zhuō
U+4986: jué
U+49B6: zhèng
U+49B7: chuài
U+49E1: yōng
U+4A26: pāng
U+4A44: miǎn,tiǎn
U+4A6C: běng
U+4A7A: wēng
U+4A8D: lán
U+4AC8: chěn
U+4BC4: guā
U+4BE7: qǐng
U+4BFC: dí
U+4C00: wǒ
U+4C16: zuǎn
U+4C1B: lì
U+4C77: yú
U+4C9F: yìn
U+4CA0: chūn
U+4CA2: téng
U+4CD8: é
U+4D13: shī
U+4D14: jiāo
U+4D15: liè
U+4D16: jīng
U+4D17: jú
U+4D18: tī
U+4D19: pì
U+4D1A: gǎng
U+4D25: jiā
U+4D38: fū
U+4D5A: tǎo
U+4D8A: nǜ
U+4DA7: yǎo
U+4DAE: yǎn
U+4DB8: yāo
U+4E00: yī,yí,yì
U+4E01: dīng,zhēng
U+4E03: qī,qí
U+4E07: wàn,mò
U+4E08: zhàng
U+4E09: sān
U+4E0A: shàng,shǎng
U+4E0B: xià
U+4E0D: bù,bú
U+4E0E: yǔ,yú,yù
U+4E0F: miǎn
U+4E10: gài
U+4E11: chǒu
U+4E13: zhuān
U+4E14: qiě,jū
U+4E15: pī
U+4E16: shì
U+4E18: qiū
U+4E19: bǐng
U+4E1A: yè
U+4E1B: cóng
U+4E1C: dōng
U+4E1D: sī
U+4E1E: chéng
U+4E1F: diū
U+4E22: diū
U+4E24: liǎng
U+4E25: yán
U+4E26: bìng
U+4E27: sàng,sāng
U+4E2A: gè,gě
U+4E2B: yā
U+4E2D: zhōng,zhòng
U+4E30: fēng
U+4E31: guàn
U+4E32: chuàn
U+4E34: lín
U+4E38: wán
U+4E39: dān
U+4E3A: wèi,wéi
U+4E3B: zhǔ
U+4E3D: lì,lí
U+4E3E: jǔ
U+4E42: yì
U+4E43: nǎi
U+4E45: jiǔ
U+4E47: tuō
U+4E48: me,ma,yāo
U+4E49: yì
U+4E4B: zhī
U+4E4C: wū,wù
U+4E4D: zhà
U+4E4E: hū
U+4E4F: fá
U+4E50: lè,yuè
U+4E52: pīng
U+4E53: pāng
U+4E54: qiáo
U+4E56: guāi
U+4E58: chéng,shèng
U+4E59: yǐ
U+4E5C: miē,niè
U+4E5D: jiǔ
U+4E5E: qǐ
U+4E5F: yě
U+4E60: xí
U+4E61: xiāng
U+4E66: shū
U+4E69: jī
U+4E70: mǎi
U+4E71: luàn
U+4E73: rǔ
U+4E78: nǎ
U+4E7E: qián,gān
U+4E82: luàn
U+4E86: le,liǎo,liào
U+4E88: yǔ,yú
U+4E89: zhēng
U+4E8B: shì
U+4E8C: èr
U+4E8D: chù
U+4E8E: yú
U+4E8F: kuī
U+4E91: yún
U+4E92: hù
U+4E93: qí
U+4E94: wǔ
U+4E95: jǐng
U+4E98: gèn
U+4E99: gèn
U+4E9A: yà
U+4E9B: xiē
U+4E9E: yà
U+4E9F: jí,qì
U+4EA1: wáng
U+4EA2: kàng
U+4EA4: jiāo
U+4EA5: hài
U+4EA6: yì
U+4EA7: chǎn
U+4EA8: hēng
U+4EA9: mǔ
U+4EAB: xiǎng
U+4EAC: jīng
U+4EAD: tíng
U+4EAE: liàng
U+4EB1: yè
U+4EB2: qīn,qìng
U+4EB3: bó
U+4EB5: xiè
U+4EB6: dǎn,dàn
U+4EB7: lián
U+4EB8: duǒ
U+4EB9: wěi,mén
U+4EBA: rén
U+4EBE: wáng
U+4EBF: yì
U+4EC0: shén,shí
U+4EC1: rén
U+4EC2: lè
U+4EC3: dīng
U+4EC4: zè
U+4EC5: jǐn,jìn
U+4EC6: pū,pú
U+4EC7: chóu,qiú
U+4EC9: zhǎng
U+4ECA: jīn
U+4ECB: jiè
U+4ECD: réng
U+4ECE: cóng,zòng
U+4ED1: lún
U+4ED3: cāng
U+4ED4: zǎi,zī,zǐ
U+4ED5: shì
U+4ED6: tā
U+4ED7: zhàng
U+4ED8: fù
U+4ED9: xiān
U+4EDB: tuō
U+4EDD: tóng
U+4EDE: rèn
U+4EDF: qiān
U+4EE1: gē,yì
U+4EE3: dài
U+4EE4: lìng,líng,lǐng
U+4EE5: yǐ
U+4EE8: sā
U+4EEA: yí
U+4EEB: mù
U+4EEC: men,mén
U+4EF0: yǎng
U+4EF2: zhòng
U+4EF3: pǐ
U+4EF5: wǔ
U+4EF6: jiàn
U+4EF7: jià,jiè,jie
U+4EFB: rèn,rén
U+4EFD: fèn
U+4EFF: fǎng
U+4F00: zhōng
U+4F01: qǐ
U+4F03: yú
U+4F08: xǐn
U+4F09: kàng
U+4F0A: yī
U+4F0B: jí
U+4F0D: wǔ
U+4F0E: jì
U+4F0F: fú
U+4F10: fá
U+4F11: xiū
U+4F15: fū
U+4F17: zhòng
U+4F18: yōu
U+4F19: huǒ
U+4F1A: huì,kuài
U+4F1B: yǔ
U+4F1E: sǎn
U+4F1F: wěi
U+4F20: chuán,zhuàn
U+4F21: chē
U+4F22: yá
U+4F23: qiàn
U+4F24: shāng
U+4F25: chāng
U+4F26: lún
U+4F27: cāng,chen
U+4F2A: wěi
U+4F2B: zhù
U+4F2D: xián
U+4F2F: bó,bǎi
U+4F30: gū,gù
U+4F32: nì,ní
U+4F34: bàn
U+4F36: líng
U+4F37: zhòu
U+4F38: shēn
U+4F3A: cì,sì
U+4F3C: shì,sì
U+4F3D: gā,jiā,qié
U+4F3E: pī
U+4F40: sì
U+4F41: yǐ
U+4F43: diàn,tián
U+4F46: dàn
U+4F47: zhù
U+4F48: bù
U+4F49: qū
U+4F4A: bǐ
U+4F4D: wèi
U+4F4E: dī
U+4F4F: zhù
U+4F50: zuǒ
U+4F51: yòu
U+4F53: tǐ,tī
U+4F54: zhàn
U+4F55: hé
U+4F56: bì
U+4F57: tuó
U+4F58: shé
U+4F59: yú
U+4F5A: yì
U+4F5B: fú,fó
U+4F5C: zuò,zuō,zuó
U+4F5D: gōu
U+4F5E: nìng
U+4F5F: tóng
U+4F60: nǐ
U+4F62: qú
U+4F63: yōng,yòng
U+4F64: wǎ
U+4F65: qiān
U+4F67: kǎ
U+4F69: pèi
U+4F6B: hè
U+4F6C: lǎo
U+4F6F: yáng
U+4F70: bǎi
U+4F73: jiā
U+4F74: èr,nài
U+4F75: bìng
U+4F76: jí
U+4F78: huó
U+4F79: guǐ
U+4F7A: quán
U+4F7B: tiāo
U+4F7C: jiǎo
U+4F7D: cì
U+4F7E: yì
U+4F7F: shǐ
U+4F81: shēn
U+4F82: tuō
U+4F83: kǎn
U+4F84: zhí
U+4F86: lái
U+4F88: chǐ
U+4F89: kuǎ
U+4F8B: lì
U+4F8D: shì
U+4F8F: zhū
U+4F91: yòu
U+4F94: móu
U+4F96: lún
U+4F97: dòng,tóng,tǒng
U+4F98: chà
U+4F9B: gōng,gòng
U+4F9C: zhōu
U+4F9D: yī
U+4FA0: xiá
U+4FA3: lǚ
U+4FA5: jiǎo,yáo
U+4FA6: zhēn
U+4FA7: cè,zè,zhāi
U+4FA8: qiáo
U+4FA9: kuài
U+4FAA: chái
U+4FAC: nóng
U+4FAE: wǔ
U+4FAF: hóu,hòu
U+4FB4: chǒu
U+4FB5: qīn
U+4FB7: jú
U+4FB9: tǐng
U+4FBB: tuì,tuō
U+4FBF: biàn,pián
U+4FC2: xì
U+4FC3: cù
U+4FC4: é
U+4FC5: qiú
U+4FCA: jùn
U+4FCD: liáng
U+4FCE: zǔ
U+4FCF: qiào
U+4FD0: lì
U+4FD1: yǒng
U+4FD7: sú
U+4FD8: fú
U+4FD9: xī
U+4FDA: lǐ
U+4FDB: fǔ,miǎn
U+4FDC: pīng
U+4FDD: bǎo
